"Nomor Registrasi","Nama Produk","Komposisi","Bentuk Sediaan","Kemasan","Pendaftar","Perusahaan","Negara_Asal","Tanggal Terbit","Masa Berlaku s/d","Status","Kategori_Obat","Golongan_Obat","Asal_Obat","Jumlah_Zat_Aktif","Durasi_Registrasi_Tahun","Sudah_Kedaluwarsa","Sisa_Hari_Berlaku","List_Zat_Aktif","Jumlah_Varian_Kemasan","Komposisi_Normalized","drug_category","all_drug_categories","raw_mapped_categories","unsupported_drug_categories","drug_category_match_status","drug_category_is_supported","drug_category_source"
"DTL9519914904A1","NOZA","PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE","KAPLET; 500 MG /30 MG /2,5 MG","DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET","PHAPROS Tbk - Indonesia","PHAPROS Tbk","Indonesia","2024-04-23","2029-03-21","Berlaku","Obat Bebas Terbatas - Lokal","Obat Bebas Terbatas","Lokal/Lainnya","1","4.9","False","1038","['PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE']","1","PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL1434610743A1","NTG","GLYCERYL TRINITRATE","INJEKSI; 1 MG","DUS,10 AMPUL @ 10 ML","FERRON PAR PHARMACEUTICALS - Indonesia","FERRON PAR PHARMACEUTICALS","Indonesia","2024-03-12","2029-03-12","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1029","['GLYCERYL TRINITRATE']","1","GLYCERYL TRINITRATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2043005930A1","NUCIDE","SODIUM FUSIDATE","SALEP","DUS, 1 TUBE @ 5 G","NULAB PHARMACEUTICAL INDONESIA - Indonesia","NULAB PHARMACEUTICAL INDONESIA","Indonesia","2025-03-09","2030-03-09","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1391","['SODIUM FUSIDATE']","1","SODIUM FUSIDATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2043005729A1","NUCORT","HYDROCORTISONE | MICONAZOLE NITRATE","KRIM","DUS, 1 TUBE @ 5 G","NULAB PHARMACEUTICAL INDONESIA - Indonesia","NULAB PHARMACEUTICAL INDONESIA","Indonesia","2025-05-09","2030-04-22","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","2","5.0","False","1435","['HYDROCORTISONE', 'MICONAZOLE NITRATE']","1","HYDROCORTISONE | MICONAZOLE NITRATE","kortikosteroid","kortikosteroid","kortikosteroid","","matched_supported","1","drug_name_complete_category_lookup.csv"
"DKL0008012609A1","NUDEP-50","SERTRALINE HYDROCHLORIDE","KAPLET SALUT SELAPUT","DUS, 3 STRIP @ 10 KAPLET SALUT SELAPUT","GUARDIAN PHARMATAMA - Indonesia","GUARDIAN PHARMATAMA","Indonesia","2026-02-13","2031-02-13","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1732","['SERTRALINE HYDROCHLORIDE']","1","SERTRALINE HYDROCHLORIDE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL9918211510A1","NUFAPREG","PROMETHAZINE TEOCLATE","TABLET","DUS, 10 STRIP @ 10 TABLET","NUFARINDO - Indonesia","NUFARINDO","Indonesia","2026-04-30","2031-04-30","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1808","['PROMETHAZINE TEOCLATE']","1","PROMETHAZINE TEOCLATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2543012309A1","NUGIN RX","CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE","KAPLET SALUT SELAPUT","DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT","NULAB PHARMACEUTICAL INDONESIA - Indonesia","NULAB PHARMACEUTICAL INDONESIA","Indonesia","2025-09-15","2030-09-15","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","5","5.0","False","1581","['CAFFEINE', 'CYANOCOBALAMIN', 'METAMIZOLE SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE MONONITRATE']","1","CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE","xantin","xantin","xantin","","matched_supported","1","drug_name_complete_category_lookup.csv"
"DKL2133552043A1","NUPOVEL MCT","PROPOFOL","EMULSI UNTUK CAIRAN INJEKSI ATAU INFUS","DUS, 5 VIAL @ 20 ML","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2026-04-20","2031-04-20","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1798","['PROPOFOL']","1","PROPOFOL","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL0922246049A1","NUPROSAN","LEUCINE. THREONINE. TRYPTOPHAN. PHENYLALANINE. TYROSINE. ALANINE. SERINE. L-METHIONINE. L-PROLINE. ASPARTIC ACID. GLUTAMIC ACID. L-ARGININE. L-HISTIDINE. GLYCINE. L-CYSTEINE. L-ISOLEUCINE. L-VALINE. L-LYSINE ACETATE","INFUS; 7 G /2,85 G /1 G /3,5 G /0,25 G /4 G /1,5 G /1,95 G /2,5 G /0,5 G /0,5 G /5,25 G /2,5 G /2,95 G /0,5","DUS, 1 BOTOL @ 500 ML","SANBE FARMA - Indonesia","SANBE FARMA","Indonesia","2024-03-15","2027-08-09","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","3.4","False","448","['LEUCINE. THREONINE. TRYPTOPHAN. PHENYLALANINE. TYROSINE. ALANINE. SERINE. L-METHIONINE. L-PROLINE. ASPARTIC ACID. GLUTAMIC ACID. L-ARGININE. L-HISTIDINE. GLYCINE. L-CYSTEINE. L-ISOLEUCINE. L-VALINE. L-LYSINE ACETATE']","1","LEUCINE. THREONINE. TRYPTOPHAN. PHENYLALANINE. TYROSINE. ALANINE. SERINE. L-METHIONINE. L-PROLINE. ASPARTIC ACID. GLUTAMIC ACID. L-ARGININE. L-HISTIDINE. GLYCINE. L-CYSTEINE. L-ISOLEUCINE. L-VALINE. L-LYSINE ACETATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKI2346200181A1","NURTEC","RIMEGEPANT SULFATE","TABLET CEPAT LARUT; 85.65 MG","DUS, 1 BLISTER @ 8 TABLET CEPAT LARUT ;; DUS, 1 BLISTER @ 2 TABLET CEPAT LARUT","PFIZER INDONESIA - Indonesia","PFIZER INDONESIA","Indonesia","2024-07-10","2028-12-04","Berlaku","Obat Keras - Impor","Obat Keras","Impor","1","4.4","False","931","['RIMEGEPANT SULFATE']","2","RIMEGEPANT SULFATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
