Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Sisa_Hari_Berlaku,List_Zat_Aktif,Jumlah_Varian_Kemasan,Komposisi_Normalized
DKI2176702943A1,TWINRIX,INACTIVATED HEPATITIS A VIRUS. HEPATITIS B SURFACE ANTIGEN,SUSPENSI INJEKSI; 720 ELISA UNIT /20  mcg,"DUS, 1 PREFILLED SYRINGE @ 1 ML (1 DOSIS)",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2021-12-23,2026-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,201,['INACTIVATED HEPATITIS A VIRUS. HEPATITIS B SURFACE ANTIGEN'],1,INACTIVATED HEPATITIS A VIRUS. HEPATITIS B SURFACE ANTIGEN
DKI2424200910A1,TWYNSTA,AMLODIPINE BESILATE | TELMISARTAN,TABLET,"DUS, 4 ALUBLISTER @ 7 TABLET",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2025-04-24,2030-04-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,2,5.0,False,1419,"['AMLODIPINE BESILATE', 'TELMISARTAN']",1,AMLODIPINE BESILATE | TELMISARTAN
DKI2057000117A1,TYKERB,LAPATINIB DITOSYLATE,TABLET SALUT SELAPUT,"DUS, 1 BOTOL @ 70 TABLET SALUT SELAPUT",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2025-12-31,2030-09-07,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.7,False,1555,['LAPATINIB DITOSYLATE'],1,LAPATINIB DITOSYLATE
LKE21412009,TYLENOL COLD-S TABLET,CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE | PARACETAMOL | PSEUDOEPHEDRINE HYDROCHLORIDE,TABLET,"DUS, 1 BLISTER @ 10 TABLET",INTEGRATED HEALTHCARE INDONESIA - Indonesia,INTEGRATED HEALTHCARE INDONESIA,Indonesia,2026-01-08,2031-01-08,Berlaku,Lisensi - Khusus Ekspor,Khusus Ekspor,Lokal/Lainnya,4,5.0,False,1678,"['CHLORPHENAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE', 'PARACETAMOL', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",1,CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE | PARACETAMOL | PSEUDOEPHEDRINE HYDROCHLORIDE
DKI2059703743A1,TYPHIM VI,TYPHOID VI POLYSACCHARIDE,INJEKSI,"DUS, 1 SYRINGE @ 1 DOSIS (0,5 ML)",KALVENTIS SINERGI FARMA - Indonesia,KALVENTIS SINERGI FARMA,Indonesia,2025-08-27,2030-03-06,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.5,False,1370,['TYPHOID VI POLYSACCHARIDE'],1,TYPHOID VI POLYSACCHARIDE
DKL1933545543A1,TYZOX,NEOSTIGMINE METHYLSULFATE,INJEKSI,"DUS, 5 PREFILLED SYRINGE @ 1 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-09-26,2030-09-09,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1557,['NEOSTIGMINE METHYLSULFATE'],1,NEOSTIGMINE METHYLSULFATE
DKI0556101117A1,UBIT,UREA,TABLET SALUT SELAPUT,"DUS, 5 STRIP @ 2 TABLET SALUT SELAPUT",OTSUKA INDONESIA - Indonesia,OTSUKA INDONESIA,Indonesia,2024-09-04,2029-09-04,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,5.0,False,1187,[],1,UREA
DKL1735309044A1,ULCAN,KOMBINASI-PANTOPRAZOLE SODIUM STERILE (34 TO 38 W/W),SERBUK INJEKSI; 124 MG,"DUS, 1 VIAL @ 40 MG",GRACIA PHARMINDO - Indonesia,GRACIA PHARMINDO,Indonesia,2024-06-21,2028-03-05,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,3.7,False,639,['PANTOPRAZOLE SODIUM STERILE (34 TO 38 W/W)'],1,PANTOPRAZOLE SODIUM STERILE 34 TO 38 W/W
DKL2028209217A1,ULCERID 20,FAMOTIDINE,TABLET SALUT SELAPUT,"DUS, 5 STRIP @ 6 TABLET SALUT SELAPUT",SIMEX PHARMACEUTICAL INDONESIA - Indonesia,SIMEX PHARMACEUTICAL INDONESIA,Indonesia,2025-12-12,2030-12-12,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1651,['FAMOTIDINE'],1,FAMOTIDINE
DKI1897300767A1,ULTIBRO BREEZHALER,GLYCOPYRRONIUM BROMIDE | INDACATEROL MALEATE,SERBUK INHALER,"DUS, 3 BLISTER @ 10 KAPSUL + 1 INHALER",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2024-04-06,2028-10-17,Berlaku,Obat Keras - Impor,Obat Keras,Impor,2,4.5,False,865,"['GLYCOPYRRONIUM BROMIDE', 'INDACATEROL MALEATE']",1,GLYCOPYRRONIUM BROMIDE | INDACATEROL MALEATE
