nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
DKL0411637249A1,AMINOFUSIN HEPAR,SORBITOL. XYLITOL. ISOLEUCINE. LEUCINE. LYSINE MALATE. METHIONINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE. HISTIDINE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLUTAMIC ACID. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE PENTAHYDRATE. POTASS,['SORBITOL. XYLITOL. ISOLEUCINE. LEUCINE. LYSINE MALATE. METHIONINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE. HISTIDINE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLUTAMIC ACID. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE PENTAHYDRATE. POTASS'],UNKNOWN,,0
DKL0411637049A1,AMINOFUSIN PAED,LEUCINE. ISOLEUCINE. LYSINE MONOHYDRATE. VALINE. PHENYLALANINE. THREONINE. POTASSIUM HYDROXIDE. SODIUM HYDROXIDE. METHIONINE. CALCIUM CHLORIDE DIHYDRATE. HISTIDINE. TRYPTOPHAN. MAGNESIUM ACETATE TETRAHYDRATE. ACETYLTYROSINE. NICOTINAMIDE. GLUTAMIC ACID. P,['LEUCINE. ISOLEUCINE. LYSINE MONOHYDRATE. VALINE. PHENYLALANINE. THREONINE. POTASSIUM HYDROXIDE. SODIUM HYDROXIDE. METHIONINE. CALCIUM CHLORIDE DIHYDRATE. HISTIDINE. TRYPTOPHAN. MAGNESIUM ACETATE TETRAHYDRATE. ACETYLTYROSINE. NICOTINAMIDE. GLUTAMIC ACID. P'],UNKNOWN,,0
DKL8718701649A1,AMINOLEBAN,GLYCINE. ALANINE. L-ARGININE HYDROCHLORIDE. ISOLEUCINE. LEUCINE. LYSINE HYDROCHLORIDE. L-METHIONINE. PHENYLALANINE. SERINE. THREONINE. TRYPTOPHAN. VALINE. PROLINE. L-CYSTEINE HYDROCHLORIDE MONOHYDRATE. HISTIDINE HYDROCHLORIDE MONOHYDRATE,['GLYCINE. ALANINE. L-ARGININE HYDROCHLORIDE. ISOLEUCINE. LEUCINE. LYSINE HYDROCHLORIDE. L-METHIONINE. PHENYLALANINE. SERINE. THREONINE. TRYPTOPHAN. VALINE. PROLINE. L-CYSTEINE HYDROCHLORIDE MONOHYDRATE. HISTIDINE HYDROCHLORIDE MONOHYDRATE'],UNKNOWN,,0
DKI1848000149A1,AMINOLYTE PERI,ARGININE HYDROCHLORIDE. ASPARTIC ACID. GLUTAMIC ACID. GLYCINE. HISTIDINE. ISOLEUCINE. LEUCINE. LYSINE HYDROCHLORIDE. METHIONINE. PHENYLALANINE. PROLINE. SERINE. THREONINE. TYROSINE. VALINE. CALCIUM CHLORIDE DIHYDRATE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAG,['ARGININE HYDROCHLORIDE. ASPARTIC ACID. GLUTAMIC ACID. GLYCINE. HISTIDINE. ISOLEUCINE. LEUCINE. LYSINE HYDROCHLORIDE. METHIONINE. PHENYLALANINE. PROLINE. SERINE. THREONINE. TYROSINE. VALINE. CALCIUM CHLORIDE DIHYDRATE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAG'],UNKNOWN,,0
DKL2428407549A1,AMINOPED 6%,ACETYLCYSTEINE | ACETYLTYROSINE | ALANINE | GLYCINE | HISTIDINE | ISOLEUCINE | L-ARGININE | LEUCINE | LYSINE ACETATE | MALIC ACID | METHIONINE | PHENYLALANINE | PROLINE | SERINE | TAURINE | THREONINE | TRYPTOPHAN | VALINE,"['ACETYLCYSTEINE', 'ACETYLTYROSINE', 'ALANINE', 'GLYCINE', 'HISTIDINE', 'ISOLEUCINE', 'L-ARGININE', 'LEUCINE', 'LYSINE ACETATE', 'MALIC ACID', 'METHIONINE', 'PHENYLALANINE', 'PROLINE', 'SERINE', 'TAURINE', 'THREONINE', 'TRYPTOPHAN', 'VALINE']",UNKNOWN,,0
LKE21067001,AMINORAL,ALPHA-HYDROXY METHIONINE CALCIUM. ALPHA-KETO-VALINE CALCIUM. ALPHA-KETO-ISOLEUCIN CALCIUM. ALPHA-KETO-LEUCINE CALCIUM. ALPHA-KETO-PHENYLALANINE CALCIUM. LYSINE ACETATE. TYROSINE. TRYPTOPHAN. THREONINE. HISTIDINE,['ALPHA-HYDROXY METHIONINE CALCIUM. ALPHA-KETO-VALINE CALCIUM. ALPHA-KETO-ISOLEUCIN CALCIUM. ALPHA-KETO-LEUCINE CALCIUM. ALPHA-KETO-PHENYLALANINE CALCIUM. LYSINE ACETATE. TYROSINE. TRYPTOPHAN. THREONINE. HISTIDINE'],UNKNOWN,,0
DKI1381203349A1,AMINOSTERIL INFANT 6 %,ACETYLCYSTEINE | ACETYLTYROSINE | ALANINE | GLYCINE | ISOLEUCINE | L-ARGININE | LEUCINE | L-HISTIDINE | LYSINE ACETATE | MALIC ACID | METHIONINE | PHENYLALANINE | PROLINE | SERINE | TAURINE | THREONINE | TRYPTOPHAN | VALINE,"['ACETYLCYSTEINE', 'ACETYLTYROSINE', 'ALANINE', 'GLYCINE', 'ISOLEUCINE', 'L-ARGININE', 'LEUCINE', 'L-HISTIDINE', 'LYSINE ACETATE', 'MALIC ACID', 'METHIONINE', 'PHENYLALANINE', 'PROLINE', 'SERINE', 'TAURINE', 'THREONINE', 'TRYPTOPHAN', 'VALINE']",UNKNOWN,,0
DKL9218703649A1,AMIPAREN,GLYCINE. ALANINE. ASPARTIC ACID. CYSTEINE. GLUTAMIC ACID. ISOLEUCINE. LEUCINE. LYSINE ACETATE. PHENYLALANINE. THREONINE. TRYPTOPHAN. TYROSINE. VALINE. L-ARGININE. SERINE. L-PROLINE. L-HISTIDINE. L-METHIONINE,['GLYCINE. ALANINE. ASPARTIC ACID. CYSTEINE. GLUTAMIC ACID. ISOLEUCINE. LEUCINE. LYSINE ACETATE. PHENYLALANINE. THREONINE. TRYPTOPHAN. TYROSINE. VALINE. L-ARGININE. SERINE. L-PROLINE. L-HISTIDINE. L-METHIONINE'],UNKNOWN,,0
DKL0822244949A1,AMITEN,LEUCINE. L-ISOLEUCINE. L-VALINE. L-LYSINE ACETATE. THREONINE. TRYPTOPHAN. L-METHIONINE. PHENYLALANINE. L-CYSTEINE. TYROSINE. L-ARGININE. L-HISTIDINE. ALANINE. L-PROLINE. SERINE. ASPARTIC ACID. GLUTAMIC ACID,['LEUCINE. L-ISOLEUCINE. L-VALINE. L-LYSINE ACETATE. THREONINE. TRYPTOPHAN. L-METHIONINE. PHENYLALANINE. L-CYSTEINE. TYROSINE. L-ARGININE. L-HISTIDINE. ALANINE. L-PROLINE. SERINE. ASPARTIC ACID. GLUTAMIC ACID'],UNKNOWN,,0
GKL2613615210A1,AMLODIPINE BESILATE,AMLODIPINE BESILATE,['AMLODIPINE BESILATE'],ccb,ccb,1
