nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
DKL1319617222A1,LIVOLA,L-ORNITHINE L-ASPARTATE,['L-ORNITHINE L-ASPARTATE'],UNKNOWN,,0
DKI1808900417A1,LIXIANA,EDOXABAN TOSYLATE,['EDOXABAN TOSYLATE'],UNKNOWN,,0
DKL0621631909A1,LIZOR,CEFPROZIL,['CEFPROZIL'],UNKNOWN,,0
DTL0033401404A1,LODECON,CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | GUAIFENESIN | PARACETAMOL | PHENYLEPHRINE HYDROCHLORIDE,"['CHLORPHENAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN', 'PARACETAMOL', 'PHENYLEPHRINE HYDROCHLORIDE']",UNKNOWN,,0
DKL0033301617B1,LODOMER 5,HALOPERIDOL,['HALOPERIDOL'],UNKNOWN,,0
DKL9915807317A1,LODOZ,BISOPROLOL FUMARATE | HYDROCHLOROTHIAZIDE,[],UNKNOWN,,0
DKL0415807317B1,LODOZ,BISOPROLOL FUMARATE | HYDROCHLOROTHIAZIDE,"['BISOPROLOL FUMARATE', 'HYDROCHLOROTHIAZIDE']",beta_blocker,beta_blocker,1
DKI2327900623A1,LOKELMA,SODIUM ZIRCONIUM CYCLOSILICATE,['SODIUM ZIRCONIUM CYCLOSILICATE'],UNKNOWN,,0
DKL0309214203A1,LOKEV,"KOMBINASI-OMEPRAZOLE PELLETS 8,5","['OMEPRAZOLE PELLETS 8,5']",UNKNOWN,,0
DKL9931805401B1,LONENE,ETODOLAC,['ETODOLAC'],UNKNOWN,,0
DKL8305501101A1,LONGATIN,NOSCAPINE,['NOSCAPINE'],UNKNOWN,,0
DKL1434611517A1,LONIDE,OTILONIUM BROMIDE,['OTILONIUM BROMIDE'],UNKNOWN,,0
DKI2238400417A1,LONSURF 15 MG / 6.14 MG,TIPIRACIL HYDROCHLORIDE | TRIFLURIDINE,"['TIPIRACIL HYDROCHLORIDE', 'TRIFLURIDINE']",UNKNOWN,,0
DKL8307903317A1,LOPAMID,LOPERAMIDE HYDROCHLORIDE,['LOPERAMIDE HYDROCHLORIDE'],UNKNOWN,,0
DKI2040401117A1,LOPARTA 200/50,LOPINAVIR | RITONAVIR,"['LOPINAVIR', 'RITONAVIR']",UNKNOWN,,0
DTL9608004810A1,LORAN,LORATADINE,['LORATADINE'],UNKNOWN,,0
DKI2258501717A1,LORLAK,LORLATINIB,['LORLATINIB'],UNKNOWN,,0
DKI9551300701A1,LOSEC,OMEPRAZOLE,['OMEPRAZOLE'],UNKNOWN,,0
DKL7803811046A1,LUBRICEN,HYPROMELLOSE,['HYPROMELLOSE'],UNKNOWN,,0
DKL1235804329A1,LUMIQUIN,HYDROQUINONE. TRETINOIN. FLUOCINOLONE ACETONIDE,['HYDROQUINONE. TRETINOIN. FLUOCINOLONE ACETONIDE'],UNKNOWN,,0
DKL1231533010A1,LUPRED,PREDNISOLONE,['PREDNISOLONE'],kortikosteroid,kortikosteroid,1
DTL2209226929A1,LUXAMET,PROMETHAZINE HYDROCHLORIDE,['PROMETHAZINE HYDROCHLORIDE'],UNKNOWN,,0
DKI2159602717A1,LYNPARZA,OLAPARIB,['OLAPARIB'],UNKNOWN,,0
DKL2234616644A1,LYOVEN,RETINOL PALMITATE. DL-ALFA TOCOFEROL. BIOTIN. DEXPANTHENOL. COCARBOXYLASE TETRAHYDRATE. PYRIDOXINE HYDROCHLORIDE. NICOTINAMIDE. RIBOFLAVIN SODIUM PHOSPHATE. ASCORBIC ACID. FOLIC ACID. CYANOCOBALAMIN. CHOLECALCIFEROL,['RETINOL PALMITATE. DL-ALFA TOCOFEROL. BIOTIN. DEXPANTHENOL. COCARBOXYLASE TETRAHYDRATE. PYRIDOXINE HYDROCHLORIDE. NICOTINAMIDE. RIBOFLAVIN SODIUM PHOSPHATE. ASCORBIC ACID. FOLIC ACID. CYANOCOBALAMIN. CHOLECALCIFEROL'],UNKNOWN,,0
DKI1863501144A1,M-M-R II,LIVE ATTENUATED MEASLES VIRUS (EDMONSTON B STRAIN) | LIVE ATTENUATED MUMPS VIRUS (JERYL LYNN STRAIN) | LIVE ATTENUATED RUBELLA VIRUS (RA27/3 STRAIN),"['LIVE ATTENUATED MEASLES VIRUS (EDMONSTON B STRAIN)', 'LIVE ATTENUATED MUMPS VIRUS (JERYL LYNN STRAIN)', 'LIVE ATTENUATED RUBELLA VIRUS (RA27/3 STRAIN)']",UNKNOWN,,0
DBL8306301433A1,MAAG GEL,MAGNESIUM TRISILICATE. CALCIUM CARBONATE. SIMETHICONE EMULSION 30,['MAGNESIUM TRISILICATE. CALCIUM CARBONATE. SIMETHICONE EMULSION 30'],UNKNOWN,,0
DBL9613013963A1,MADROX,MAGNESIUM HYDROXIDE. DRIED ALUMINIUM HYDROXIDE GEL. SIMETHICONE,[],UNKNOWN,,0
DBL9005006263A1,MAGALAT,MAGALDRATE,['MAGALDRATE'],UNKNOWN,,0
DBL8805004933A1,MAGALAT,MAGALDRATE | SIMETHICONE,"['MAGALDRATE', 'SIMETHICONE']",UNKNOWN,,0
DBL2144402463A1,MAGASIDA,SIMETHICONE. ALUMINIUM HYDROXIDE WITH MAGNESIUM HYDROXIDE ~ MAGNESIUM HYDROXIDE 200 MG DAN ALUMINIUM HYDROXIDE,['SIMETHICONE. ALUMINIUM HYDROXIDE WITH MAGNESIUM HYDROXIDE ~ MAGNESIUM HYDROXIDE 200 MG DAN ALUMINIUM HYDROXIDE'],UNKNOWN,,0
DBL0133203933A1,MAGTEN,SIMETHICONE. DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,['SIMETHICONE. DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE'],UNKNOWN,,0
DBL0204128137A1,MALTOFER,FERRIC HYDROXIDE POLYMALTOSE COMPLEX,['FERRIC HYDROXIDE POLYMALTOSE COMPLEX'],UNKNOWN,,0
DBL0204128263A1,MALTOFER FOL,FERRIC HYDROXIDE POLYMALTOSE COMPLEX. FOLIC ACID,['FERRIC HYDROXIDE POLYMALTOSE COMPLEX. FOLIC ACID'],UNKNOWN,,0
DTL9021903210B1,MASFLU,PARACETAMOL. CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE,['PARACETAMOL. CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE'],UNKNOWN,,0
DKI2358502010A1,MAVENCLAD,CLADRIBINE,['CLADRIBINE'],UNKNOWN,,0
DKI2262800149A1,MAXIGESIC IV,IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL,['IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL'],nsaid,nsaid,1
DKL2128209617B1,MAXLIS 20,TADALAFIL,['TADALAFIL'],UNKNOWN,,0
DKL2628213344A1,MAXPARIN,CEFAZOLIN SODIUM,['CEFAZOLIN SODIUM'],UNKNOWN,,0
DKL2428212209A1,MAXSIMET,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE,"['METFORMIN HYDROCHLORIDE', 'SITAGLIPTIN PHOSPHATE']",antidiabetes,antidiabetes,1
DKL2628213537A1,MAXTOLIN EXPECTORANT,GUAIFENESIN | SALBUTAMOL SULFATE,"['GUAIFENESIN', 'SALBUTAMOL SULFATE']",UNKNOWN,,0
DKI1740300244A1,MEASLES AND RUBELLA VACCINE,LIVE ATTENUATED MEASLES VIRUS (EDMONSTON-ZAGREB STRAIN) | LIVE ATTENUATED RUBELLA VIRUS (RA27/3 STRAIN),"['LIVE ATTENUATED MEASLES VIRUS (EDMONSTON-ZAGREB STRAIN)', 'LIVE ATTENUATED RUBELLA VIRUS (RA27/3 STRAIN)']",UNKNOWN,,0
DKL0233505337A1,MECLOVEL,BETAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,"['BETAMETHASONE', 'DEXCHLORPHENIRAMINE MALEATE']",kortikosteroid,kortikosteroid,1
DKL1209502501A1,MEDCOTRAM,TRAMADOL HYDROCHLORIDE,['TRAMADOL HYDROCHLORIDE'],UNKNOWN,,0
DKL0328603528A1,MEDI-KLIN TR,CLINDAMYCIN PHOSPHATE | TRETINOIN,"['CLINDAMYCIN PHOSPHATE', 'TRETINOIN']",UNKNOWN,,0
DKL1221102041A1,MEDISIO,POLICRESULEN,['POLICRESULEN'],UNKNOWN,,0
DKL0605042344A1,MEDIXON,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE,['METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE'],kortikosteroid,kortikosteroid,1
DTL2025905704A1,MEFFU EKSPEKTORAN,CHLORPHENAMINE MALEATE. PHENYLEPHRINE HYDROCHLORIDE. PARACETAMOL. GUAIFENESIN,['CHLORPHENAMINE MALEATE. PHENYLEPHRINE HYDROCHLORIDE. PARACETAMOL. GUAIFENESIN'],UNKNOWN,,0
DTL2525908604A1,MEFFU PPA,CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | GUAIFENESIN | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE,"['CHLORPHENAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN', 'PARACETAMOL', 'PHENYLPROPANOLAMINE HYDROCHLORIDE']",UNKNOWN,,0
DKL2528212533A1,MEGASTROL,MEGESTROL ACETATE,['MEGESTROL ACETATE'],UNKNOWN,,0
DKL9215301701B1,MEIXAM 500,CLOXACILLIN SODIUM HYDRATE,['CLOXACILLIN SODIUM HYDRATE'],UNKNOWN,,0
GKL2623418410A1,MELOXICAM .,MELOXICAM,['MELOXICAM'],nsaid,nsaid,1
DKI1616500343A1,MENACTRA,MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO DIPHTHERIA TOXOID | MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO DIPHTHERIA TOXOID | MENINGOCOCCAL POLYSACCHARIDE GROUP W-135 CONJUGATED TO DIPHTHERIA TOXOID | MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO DIPHTHERIA TOXOID,"['MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO DIPHTHERIA TOXOID', 'MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO DIPHTHERIA TOXOID', 'MENINGOCOCCAL POLYSACCHARIDE GROUP W-135 CONJUGATED TO DIPHTHERIA TOXOID', 'MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO DIPHTHERIA TOXOID']",UNKNOWN,,0
GKL7206316510A1,MENADIOL DIACETATE,MENADIOL DIACETATE,['MENADIOL DIACETATE'],UNKNOWN,,0
DKI2460300644A1,MENHYCIA,MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO CRM197 PROTEIN | MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO CRM197 PROTEIN | MENINGOCOCCAL POLYSACCHARIDE GROUP W135 CONJUGATED TO CRM197 PROTEIN | MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO CRM197 PROTEIN,"['MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO CRM197 PROTEIN', 'MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO CRM197 PROTEIN', 'MENINGOCOCCAL POLYSACCHARIDE GROUP W135 CONJUGATED TO CRM197 PROTEIN', 'MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO CRM197 PROTEIN']",UNKNOWN,,0
DKI1442300144A1,MENIVAX ACYW,MENINGOCOCCAL POLYSACCHARIDE GROUP A. MENINGOCOCCAL POLYSACCHARIDE GROUP C. MENINGOCOCCAL POLYSACCHARIDE GROUP Y. MENINGOCOCCAL POLYSACCHARIDE GROUP W,['MENINGOCOCCAL POLYSACCHARIDE GROUP A. MENINGOCOCCAL POLYSACCHARIDE GROUP C. MENINGOCOCCAL POLYSACCHARIDE GROUP Y. MENINGOCOCCAL POLYSACCHARIDE GROUP W'],UNKNOWN,,0
DKI2151700744A1,MENOPUR,MENOTROPHIN,['MENOTROPHIN'],UNKNOWN,,0
DKI2570300143A1,MEPISV 3%,MEPIVACAINE HYDROCHLORIDE,['MEPIVACAINE HYDROCHLORIDE'],UNKNOWN,,0
DKL1815627929A1,MEPROLAR-N,DESONIDE . NEOMYCIN SULFATE,['DESONIDE . NEOMYCIN SULFATE'],kortikosteroid,kortikosteroid,1
DKL1915630168A1,MEPROVENT,SALBUTAMOL SULFATE. IPRATROPIUM BROMIDE MONOHYDRATE,['SALBUTAMOL SULFATE. IPRATROPIUM BROMIDE MONOHYDRATE'],UNKNOWN,,0
DKL8118700110A1,MEPTIN,PROCATEROL HYDROCHLORIDE HYDRATE,['PROCATEROL HYDROCHLORIDE HYDRATE'],UNKNOWN,,0
DPL0033302917A1,MERLOPAM 2,LORAZEPAM,['LORAZEPAM'],UNKNOWN,,0
DKL0604425244B1,MEROFEN 1,KOMBINASI-MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE,['MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE'],UNKNOWN,,0
DKI1814500644A1,MERONEM,MEROPENEM TRIHYDRATE,['MEROPENEM TRIHYDRATE'],UNKNOWN,,0
GKL1205046144A1,MEROPENEM TRIHYDRATE,MEROPENEM TRIHYDRATE BUFFERED WITH SODIUM CARBONATE,['MEROPENEM TRIHYDRATE BUFFERED WITH SODIUM CARBONATE'],UNKNOWN,,0
GKL2037501044A1,MEROPENEM TRIHYDRATE,KOMBINASI-MEROPENEM BUFFERED WITH SODIUM CARBONATE,['MEROPENEM BUFFERED WITH SODIUM CARBONATE'],UNKNOWN,,0
DTL2033317337A1,MERSIDRYL,DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. PHENYLEPHRINE HYDROCHLORIDE,['DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. PHENYLEPHRINE HYDROCHLORIDE'],UNKNOWN,,0
DTL2615209028A1,MESADEN,PIROXICAM,['PIROXICAM'],nsaid,nsaid,1
DKL2132209916A1,MESTINON,PYRIDOSTIGMINE BROMIDE,['PYRIDOSTIGMINE BROMIDE'],UNKNOWN,,0
DTL7816007937A1,METACETIN,CHLORPHENAMINE MALEATE | GUAIFENESIN | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE,"['CHLORPHENAMINE MALEATE', 'GUAIFENESIN', 'PARACETAMOL', 'PHENYLPROPANOLAMINE HYDROCHLORIDE']",UNKNOWN,,0
DKI2452504744A1,METALYSE,TENECTEPLASE,['TENECTEPLASE'],UNKNOWN,,0
GKL7815206104A2,METAMIZOLE SODIUM,METAMIZOLE SODIUM,['METAMIZOLE SODIUM'],UNKNOWN,,0
GKL9805024917A1,METFORMIN HCL,KOMBINASI-METFORMIN HCL GRANULES DC 95,['METFORMIN HCL GRANULES DC 95'],antidiabetes,antidiabetes,1
GKL2534016917A1,METFORMIN HYDROCHLORIDE,KOMBINASI-METFORMIN HYDROCHLORIDE DC GRANULES 90,['METFORMIN HYDROCHLORIDE DC GRANULES 90'],antidiabetes,antidiabetes,1
DKL0633208409A1,METHAM,ETHAMBUTOL HYDROCHLORIDE. ISONIAZID. PYRIDOXINE HYDROCHLORIDE,['ETHAMBUTOL HYDROCHLORIDE. ISONIAZID. PYRIDOXINE HYDROCHLORIDE'],UNKNOWN,,0
GKL2044300743A1,METHOTREXATE,METHOTREXATE,['METHOTREXATE'],imunosupresan,imunosupresan,1
GKL1902359716A1,METHYLERGOMETRINE MALEATE,METHYLERGOMETRINE MALEATE,['METHYLERGOMETRINE MALEATE'],UNKNOWN,,0
GKL1413708144A1,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,['METHYLPREDNISOLONE SODIUM SUCCINATE'],kortikosteroid,kortikosteroid,1
DKL2413326009A1,METSIT,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE MONOHYDRATE,"['METFORMIN HYDROCHLORIDE', 'SITAGLIPTIN PHOSPHATE MONOHYDRATE']",antidiabetes,antidiabetes,1
DKL1823414837A1,MEXON,DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,['DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE'],kortikosteroid,kortikosteroid,1
DTL9909212537A1,MEZINEX,GUAIFENESIN | IPECACUANHA EXTRACT | PROMETHAZINE HYDROCHLORIDE,"['GUAIFENESIN', 'IPECACUANHA EXTRACT', 'PROMETHAZINE HYDROCHLORIDE']",UNKNOWN,,0
DKI2262500143A1,MIACALCIC,CALCITONIN. SALMON,['CALCITONIN. SALMON'],UNKNOWN,,0
DKI1916201817A1,MIANIB,IMATINIB MESYLATE,['IMATINIB MESYLATE'],UNKNOWN,,0
DKI2161900180A1,MICACURA,MICAFUNGIN SODIUM,['MICAFUNGIN SODIUM'],UNKNOWN,,0
DKI2055200110A1,MICARDIS PLUS,TELMISARTAN. HYDROCHLOROTHIAZIDE,['TELMISARTAN. HYDROCHLOROTHIAZIDE'],ace_arb,ace_arb,1
DKI2455200410A1,MICARDIS PLUS,HYDROCHLOROTHIAZIDE | TELMISARTAN,"['HYDROCHLOROTHIAZIDE', 'TELMISARTAN']",ace_arb,ace_arb,1
GTL9832301029A1,MICONAZOLE NITRATE,MICONAZOLE NITRATE,['MICONAZOLE NITRATE'],UNKNOWN,,0
DKI1016700723A1,MICROBAR POWDER,BARIUM SULFATE,['BARIUM SULFATE'],UNKNOWN,,0
DBL7221628958A1,MICROLAX,SODIUM LAURYL SULFOACETATE. MACROGOL 400. SORBITOL. SODIUM CITRATE DIHYDRATE,['SODIUM LAURYL SULFOACETATE. MACROGOL 400. SORBITOL. SODIUM CITRATE DIHYDRATE'],UNKNOWN,,0
DKL1833541417A1,MIGRATOP,TOPIRAMATE,['TOPIRAMATE'],antikonvulsan,antikonvulsan,1
DKL0304421443B1,MIKASIN,AMIKACIN SULFATE,['AMIKACIN SULFATE'],UNKNOWN,,0
DKL0521631316A1,MILMOR,PLACENTA EXTRACT. CYANOCOBALAMIN. TRIBASIC CALCIUM PHOSPHATE,['PLACENTA EXTRACT. CYANOCOBALAMIN. TRIBASIC CALCIUM PHOSPHATE'],UNKNOWN,,0
DPL0133502943B1,MILOZ,MIDAZOLAM HYDROCHLORIDE,['MIDAZOLAM HYDROCHLORIDE'],UNKNOWN,,0
DKL0720934223A1,MINERAL MIX,KOMBINASI-MINERAL MIX,['MINERAL MIX'],UNKNOWN,,0
DKI2231801110A1,MINIRIN,DESMOPRESSIN ACETATE,['DESMOPRESSIN ACETATE'],UNKNOWN,,0
DBL1723413717A1,MIRANEURO,THIAMINE HYDROCHLORIDE. CYANOCOBALAMIN. PYRIDOXINE HYDROCHLORIDE,['THIAMINE HYDROCHLORIDE. CYANOCOBALAMIN. PYRIDOXINE HYDROCHLORIDE'],UNKNOWN,,0
DKI2152600643A1,MIRCERA,METHOXY POLYETHYLENE GLYCOL - EPOETIN BETA,['METHOXY POLYETHYLENE GLYCOL - EPOETIN BETA'],UNKNOWN,,0
DKL1333530917A1,MIRZAP,MIRTAZAPINE HEMIHYDRATE,['MIRTAZAPINE HEMIHYDRATE'],UNKNOWN,,0
LKE21044014,MIXADIN,DEXTROMETHORPHAN HYDROBROMIDE. EPHEDRINE HYDROCHLORIDE. GUAIFENESIN. CHLORPHENAMINE MALEATE,['DEXTROMETHORPHAN HYDROBROMIDE. EPHEDRINE HYDROCHLORIDE. GUAIFENESIN. CHLORPHENAMINE MALEATE'],UNKNOWN,,0
DTL2621717304A1,MIXAGRIP FLU,CHLORPHENAMINE MALEATE | PARACETAMOL | PHENYLEPHRINE HYDROCHLORIDE,"['CHLORPHENAMINE MALEATE', 'PARACETAMOL', 'PHENYLEPHRINE HYDROCHLORIDE']",UNKNOWN,,0
LKE20044013,MIXAGRIP PSD,CHLORPHENAMINE MALEATE. PSEUDOEPHEDRINE HYDROCHLORIDE. PARACETAMOL,['CHLORPHENAMINE MALEATE. PSEUDOEPHEDRINE HYDROCHLORIDE. PARACETAMOL'],UNKNOWN,,0
DKL8506302509A1,MIXALGIN,METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE,['METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE'],xantin,xantin,1
DKL1321205604A1,MODALIM,CIPROFIBRATE,['CIPROFIBRATE'],UNKNOWN,,0
DKL9833300704A2,MOKBIOS 500,AMOXICILLIN,['AMOXICILLIN'],antibiotik_beta,antibiotik_beta,1
DKL9730903210B1,"MOLACORT 0,5",DEXAMETHASONE,['DEXAMETHASONE'],kortikosteroid,kortikosteroid,1
DKL2330914749A1,MOLAFLOX,LEVOFLOXACIN HEMIHYDRATE,['LEVOFLOXACIN HEMIHYDRATE'],antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,1
DBL9330903310A1,MOLAGIT,ATTAPULGITE | PECTIN,"['ATTAPULGITE', 'PECTIN']",UNKNOWN,,0
GKL2344408101A1,MOLNUPIRAVIR,MOLNUPIRAVIR,['MOLNUPIRAVIR'],UNKNOWN,,0
DKL7604522616A1,MOLOCO B12,PLACENTA EXTRACT. CYANOCOBALAMIN,['PLACENTA EXTRACT. CYANOCOBALAMIN'],UNKNOWN,,0
GKL2617635829A1,MOMETASONE FUROATE,MOMETASONE FUROATE,['MOMETASONE FUROATE'],kortikosteroid,kortikosteroid,1
DKL2405068717A1,MONARIN,MONTELUKAST SODIUM,['MONTELUKAST SODIUM'],UNKNOWN,,0
DKL9531510610B1,MONECTO 20,ISOSORBIDE MONONITRATE,['ISOSORBIDE MONONITRATE'],UNKNOWN,,0
GKL0502906136A1,MONOVALENT ORAL POLIOMYELITIS VACCINE TYPE 1,LIVE ATTENUATED POLIOMYELITIS VIRUS TYPE 1 (SABIN STRAIN),['LIVE ATTENUATED POLIOMYELITIS VIRUS TYPE 1 (SABIN STRAIN)'],UNKNOWN,,0
GKL2002907436A1,MONOVALENT ORAL POLIOMYELITIS VACCINE TYPE 2 (MOPV2),POLIOMYELITIS VIRUS SABIN STRAIN TYPE 2,['POLIOMYELITIS VIRUS SABIN STRAIN TYPE 2'],UNKNOWN,,0
DKI1014500322A1,MONURIL,FOSFOMYCIN TROMETAMOL,['FOSFOMYCIN TROMETAMOL'],UNKNOWN,,0
DKL0534602744A1,MORCEF,CEFPIROME SULFATE MIXED WITH SODIUM CARBONATE,['CEFPIROME SULFATE MIXED WITH SODIUM CARBONATE'],UNKNOWN,,0
DNL2412433937A1,MORFIKAF,MORPHINE SULFATE PENTAHYDRATE,['MORPHINE SULFATE PENTAHYDRATE'],UNKNOWN,,0
DNL2212432843A1,MORFINA,MORPHINE HYDROCHLORIDE TRIHYDRATE,['MORPHINE HYDROCHLORIDE TRIHYDRATE'],UNKNOWN,,0
GNL9412413410A1,MORPHINE HYDROCHLORIDE,MORPHINE HYDROCHLORIDE,['MORPHINE HYDROCHLORIDE'],UNKNOWN,,0
DKL1441001129A1,MORVALE,BETAMETHASONE VALERATE,['BETAMETHASONE VALERATE'],kortikosteroid,kortikosteroid,1
DKI2673402943A1,MOUNJARO KWIKPEN,TIRZEPATIDE,['TIRZEPATIDE'],UNKNOWN,,0
GKL2640818149A1,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,['MOXIFLOXACIN HYDROCHLORIDE'],antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,1
DNL9613701614B1,MST CONTINUS,MORPHINE SULFATE,['MORPHINE SULFATE'],UNKNOWN,,0
DKL1615624633A1,MUCIFAT,SUCRALFATE,['SUCRALFATE'],UNKNOWN,,0
DKI1010400143A1,MULTIHANCE,GADOBENATE DIMEGLUMINE,['GADOBENATE DIMEGLUMINE'],UNKNOWN,,0
GKL2528606430A1,MUPIROCIN,MUPIROCIN,['MUPIROCIN'],UNKNOWN,,0
DKL2515636530A1,MYCONIX,NYSTATIN | ZINC OXIDE,"['NYSTATIN', 'ZINC OXIDE']",UNKNOWN,,0
DKI2121001315A1,MYFORTIC,MYCOPHENOLATE SODIUM,['MYCOPHENOLATE SODIUM'],imunosupresan,imunosupresan,1
DKI2040401009A1,MYHEP ALL,VELPATASVIR. SOFOSBUVIR,['VELPATASVIR. SOFOSBUVIR'],UNKNOWN,,0
DKI2540401709A1,MYHEP ALL,SOFOSBUVIR | VELPATASVIR,"['SOFOSBUVIR', 'VELPATASVIR']",UNKNOWN,,0
LKE22412011,MYLANTA 2GO ANTACID FASTCHEWS,CALCIUM CARBONATE. MAGNESIUM HYDROXIDE,['CALCIUM CARBONATE. MAGNESIUM HYDROXIDE'],UNKNOWN,,0
DKI2042400380A1,MYOZYME,ALGLUCOSIDASE ALFA,['ALGLUCOSIDASE ALFA'],UNKNOWN,,0
DTL1404522310A1,NALGESTAN,CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE,['CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE'],UNKNOWN,,0
GKL1931543743A1,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,[],UNKNOWN,,0
GKL2505069543A1,NALOXONE HYDROCHLORIDE DIHYDRATE,NALOXONE HYDROCHLORIDE DIHYDRATE,['NALOXONE HYDROCHLORIDE DIHYDRATE'],UNKNOWN,,0
DKI2585101043A1,NAROPIN,ROPIVACAINE HCL MONOHYDRATE,['ROPIVACAINE HCL MONOHYDRATE'],UNKNOWN,,0
DKI2526101356A1,NASEHALER,MOMETASONE FUROATE MONOHYDRATE,['MOMETASONE FUROATE MONOHYDRATE'],kortikosteroid,kortikosteroid,1
DKL7803810946A1,NATACEN,NATAMYCIN,['NATAMYCIN'],UNKNOWN,,0
DKI1768601614A1,NATEXAM,INDAPAMIDE. AMLODIPINE BESILATE,['INDAPAMIDE. AMLODIPINE BESILATE'],ccb,ccb,1
DKL1704527296A1,NATRILIX SR,INDAPAMIDE,['INDAPAMIDE'],UNKNOWN,,0
DKL1913026717A1,NAUSIMEX,ONDANSETRON HYDROCHLORIDE,['ONDANSETRON HYDROCHLORIDE'],UNKNOWN,,0
DKL7219929530A1,NB TOPICAL OINTMENT,NEOMYCIN SULFATE. BACITRACIN ZINC,['NEOMYCIN SULFATE. BACITRACIN ZINC'],UNKNOWN,,0
DKL7221628830A1,NEBACETIN,NEOMYCIN SULFATE. BACITRACIN,['NEOMYCIN SULFATE. BACITRACIN'],UNKNOWN,,0
DTL9627802737A1,NELADRYL DMP,DIPHENHYDRAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. PARACETAMOL. PHENYLEPHRINE HYDROCHLORIDE,['DIPHENHYDRAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. PARACETAMOL. PHENYLEPHRINE HYDROCHLORIDE'],UNKNOWN,,0
DTL7217206637B2,NELLCO SPECIAL OBH,PARACETAMOL. CHLORPHENAMINE MALEATE. EPHEDRINE HYDROCHLORIDE. AMMONIUM CHLORIDE. SUCCUS LIQUIRITIAE,['PARACETAMOL. CHLORPHENAMINE MALEATE. EPHEDRINE HYDROCHLORIDE. AMMONIUM CHLORIDE. SUCCUS LIQUIRITIAE'],UNKNOWN,,0
