backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
DKL7817608801A1,DKL7817608801A1,INTERDOXIN 50,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,['DOXYCYCLINE HYCLATE'],1,antibiotik_tetrasiklin,antibiotik_tetrasiklin,antibiotik_tetrasiklin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPSUL,kapsul,oral,"DUS, 5 STRIP @ 4 KAPSUL",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-12-17,2030-12-17,Berlaku,aktif,1656,1,drug_name_category_lookup.csv,DOXYCYCLINE,curated_rule
GKL2644410917A1,GKL2644410917A1,IRBESARTAN,IRBESARTAN,IRBESARTAN,['IRBESARTAN'],1,ace_arb,ace_arb,ace_arb,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2026-01-29,2031-01-29,Berlaku,aktif,1699,1,drug_name_category_lookup.csv,IRBESARTAN,curated_rule
DKL0609318804A1,DKL0609318804A1,IRTAN PLUS,HYDROCHLOROTHIAZIDE. IRBESARTAN,HYDROCHLOROTHIAZIDE. IRBESARTAN,['HYDROCHLOROTHIAZIDE. IRBESARTAN'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Lokal,Obat Keras,1,1,"KAPLET; 12,5 mg /300 mg",kaplet,oral,"DUS, 3 STRIP @ 10 KAPLET",IKAPHARMINDO PUTRAMAS Tbk. - Indonesia,IKAPHARMINDO PUTRAMAS Tbk.,Indonesia,2021-03-28,2026-02-10,Berlaku,kedaluwarsa,-115,1,drug_name_category_lookup.csv,IRBESARTAN,curated_rule
DKL0200202717A1,DKL0200202717A1,ISOPTIN,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,['VERAPAMIL HYDROCHLORIDE'],1,ccb,ccb,ccb,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT; 80 MG,tablet,oral,"DUS, 5 STRIP @ 10 TABLET SALUT SELAPUT",ABBOTT INDONESIA - Indonesia,ABBOTT INDONESIA,Indonesia,2024-04-29,2029-04-29,Berlaku,aktif,1059,1,drug_name_category_lookup.csv,VERAPAMIL,curated_rule
LKE17066176,LKE17066176,JANUVIA,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN PHOSPHATE MONOHYDRATE,['SITAGLIPTIN PHOSPHATE MONOHYDRATE'],1,antidiabetes,antidiabetes,antidiabetes,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET SALUT SELAPUT,tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELPUT ;; DRUM, MAKSIMUM @ 35 KG",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2026-04-09,2031-04-09,Berlaku,aktif,1769,2,drug_name_category_lookup.csv,SITAGLIPTIN,curated_rule
DKI2356100217B1,DKI2356100217B1,JARDIANCE DUO,EMPAGLIFLOZIN. METFORMIN HYDROCHLORIDE,EMPAGLIFLOZIN. METFORMIN HYDROCHLORIDE,['EMPAGLIFLOZIN. METFORMIN HYDROCHLORIDE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,"TABLET SALUT SELAPUT; 12,5 MG /500 MG",tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2024-09-30,2029-09-30,Berlaku,aktif,1213,1,drug_name_category_lookup.csv,EMPAGLIFLOZIN | METFORMIN,curated_rule
DKL0310804829A1,DKL0310804829A1,KEMIDERM,CHLORAMPHENICOL. HYDROCORTISONE ACETATE,CHLORAMPHENICOL. HYDROCORTISONE ACETATE,['CHLORAMPHENICOL. HYDROCORTISONE ACETATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM; 20 MG /25 MG,krim,topikal,"DUS, 1 TUBE @ 5 G",BERLICO MULIA FARMA - Indonesia,BERLICO MULIA FARMA,Indonesia,2021-02-15,2026-01-29,Berlaku,kedaluwarsa,-127,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
DKL1124400130A1,DKL1124400130A1,KENALOG IN ORABASE,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,['TRIAMCINOLONE ACETONIDE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SALEP,salep,topikal,"DUS, 25 DUS @ 1 TUBE @ 5 G",TAISHO PHARMACEUTICAL INDONESIA - Indonesia,TAISHO PHARMACEUTICAL INDONESIA,Indonesia,2025-08-27,2030-08-27,Berlaku,aktif,1544,1,drug_name_category_lookup.csv,TRIAMCINOLONE,curated_rule
DKL2640505643A1,DKL2640505643A1,KETOGESIC,KETOROLAC TROMETAMOL,KETOROLAC TROMETAMOL,['KETOROLAC TROMETAMOL'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 10 AMPUL @ 1 ML",BETA PHARMACON - Indonesia,BETA PHARMACON,Indonesia,2026-03-29,2031-03-29,Berlaku,aktif,1758,1,drug_name_category_lookup.csv,KETOROLAC,curated_rule
GKL0502337743A1,GKL0502337743A1,KETOPROFEN LYSINE,KETOPROFEN LYSINE,KETOPROFEN LYSINE,['KETOPROFEN LYSINE'],1,nsaid,nsaid,nsaid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 10 AMPUL @ 2 ML",BERNOFARM - Indonesia,BERNOFARM,Indonesia,2025-01-16,2030-01-16,Berlaku,aktif,1321,1,drug_name_category_lookup.csv,KETOPROFEN,curated_rule
DKL9730904629A1,DKL9730904629A1,KLORFESON,CHLORAMPHENICOL. PREDNISOLONE,CHLORAMPHENICOL. PREDNISOLONE,['CHLORAMPHENICOL. PREDNISOLONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"KRIM; 20 MG /2,5 MG",krim,topikal,"DUS, 1 TUBE @ 10 G",MOLEX AYUS - Indonesia,MOLEX AYUS,Indonesia,2022-10-04,2027-10-04,Berlaku,aktif,486,1,drug_name_category_lookup.csv,PREDNISOLONE,curated_rule
DKI2227900514A1,DKI2227900514A1,KOMBIGLYZE XR,KOMBINASI-METFORMIN BULK. SAXAGLIPTIN,METFORMIN BULK. SAXAGLIPTIN,['METFORMIN BULK. SAXAGLIPTIN'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,TABLET PELEPASAN LAMBAT; 1005 MG /5 MG,tablet,oral,"DUS, 4 BLISTER @ 7 TABLET PELEPASAN LAMBAT",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2022-12-31,2027-12-31,Berlaku,aktif,574,1,drug_name_category_lookup.csv,METFORMIN,curated_rule
DKL1328911529A1,DKL1328911529A1,KORASON N,BETAMETHASONE VALERATE. NEOMYCIN SULFATE,BETAMETHASONE VALERATE. NEOMYCIN SULFATE,['BETAMETHASONE VALERATE. NEOMYCIN SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"KRIM; 1,2 MG /5 MG",krim,topikal,"DUS, 1 TUBE @ 5 G",RAMA EMERALD MULTI SUKSES - Indonesia,RAMA EMERALD MULTI SUKSES,Indonesia,2024-06-27,2029-01-17,Berlaku,aktif,957,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL1842200229A1,DKL1842200229A1,KRIM PI KANG SHUANG,MICONAZOLE NITRATE. NEOMYCIN SULFATE. TRIAMCINOLONE ACETONIDE ACETATE,MICONAZOLE NITRATE. NEOMYCIN SULFATE. TRIAMCINOLONE ACETONIDE ACETATE,['MICONAZOLE NITRATE. NEOMYCIN SULFATE. TRIAMCINOLONE ACETONIDE ACETATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"KRIM; 10 MG /4,6 MG /1 MG",krim,topikal,"DUS, TUBE @ 5 G",SANO GRATIA FARMA - Indonesia,SANO GRATIA FARMA,Indonesia,2024-04-05,2029-04-05,Berlaku,aktif,1035,1,drug_name_category_lookup.csv,TRIAMCINOLONE,curated_rule
