backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
DKL2543012309A1,DKL2543012309A1,NUGIN RX,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,"['CAFFEINE', 'CYANOCOBALAMIN', 'METAMIZOLE SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE MONONITRATE']",5,xantin,xantin,xantin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT",NULAB PHARMACEUTICAL INDONESIA - Indonesia,NULAB PHARMACEUTICAL INDONESIA,Indonesia,2025-09-15,2030-09-15,Berlaku,aktif,1563,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKL2018218410A1,DKL2018218410A1,NUZARTAN,KOMBINASI-TELMISARTAN GRANULE,TELMISARTAN GRANULE,['TELMISARTAN GRANULE'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 4 BLISTER @ 7 TABLET ;; DRUM, 40000 - 500000 TABLET",NUFARINDO - Indonesia,NUFARINDO,Indonesia,2024-12-31,2027-06-02,Berlaku,aktif,362,2,drug_name_category_lookup.csv,TELMISARTAN,curated_rule
DBL2003400723A1,DBL2003400723A1,OBAT SAKIT KEPALA CAP PEDANG,ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE,ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE,['ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas - Lokal,Obat Bebas,0,1,SERBUK; 400 MG /250 MG /50 MG,lainnya,oral,"DUS, 100 SACHET @ 1.000 MG",BROMO PHARMACEUTICAL INDUSTRIES - Indonesia,BROMO PHARMACEUTICAL INDUSTRIES,Indonesia,2020-06-22,2025-06-22,Berlaku,kedaluwarsa,-348,1,drug_name_category_lookup.csv,ACETYLSALICYLIC|CAFFEINE,curated_rule
DTL2004703023A1,DTL2004703023A1,OBAT SAKIT KEPALA U55 EXTRA,PARACETAMOL. IBUPROFEN. CAFFEINE,PARACETAMOL. IBUPROFEN. CAFFEINE,['PARACETAMOL. IBUPROFEN. CAFFEINE'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,1,SERBUK; 350 MG /200 MG /50 MG,lainnya,oral,"DUS, 100 SACHET @ 900 MG",DEGEPHARM - Indonesia,DEGEPHARM,Indonesia,2021-11-17,2026-11-17,Berlaku,aktif,165,1,drug_name_category_lookup.csv,CAFFEINE|IBUPROFEN,curated_rule
DBL1704702923A1,DBL1704702923A1,OBAT SAKIT KEPALA UI,ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL,ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL,['ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas - Lokal,Obat Bebas,0,1,SERBUK; 250 MG /50 MG /400 MG,lainnya,oral,"DUS, 100 SACHET @ 1 GRAM",DEGEPHARM - Indonesia,DEGEPHARM,Indonesia,2022-11-01,2027-11-01,Berlaku,aktif,514,1,drug_name_category_lookup.csv,ACETYLSALICYLIC|CAFFEINE,curated_rule
GKL2533558917A1,GKL2533558917A1,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,['OLMESARTAN MEDOXOMIL'],1,ace_arb,ace_arb,ace_arb,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 STRIP @ 10 TABLET SALUT SELAPUT",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-02-21,2030-02-21,Berlaku,aktif,1357,1,drug_name_category_lookup.csv,OLMESARTAN,curated_rule
DKI1949000217A1,DKI1949000217A1,OLODUO,ROSUVASTATIN CALCIUM. OLMESARTAN MEDOXOMIL,ROSUVASTATIN CALCIUM. OLMESARTAN MEDOXOMIL,['ROSUVASTATIN CALCIUM. OLMESARTAN MEDOXOMIL'],1,ace_arb,ace_arb|statin,ace_arb,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT; 10.40 mg /20.00 MG,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",DAEWOONG INFION - Indonesia,DAEWOONG INFION,Indonesia,2019-09-28,2024-09-28,Berlaku,kedaluwarsa,-615,1,drug_name_category_lookup.csv,OLMESARTAN|ROSUVASTATIN,curated_rule
DKL2540001546A1,DKL2540001546A1,OPHTADEX,DEXAMETHASONE SODIUM PHOSPHATE | TOBRAMYCIN,DEXAMETHASONE SODIUM PHOSPHATE | TOBRAMYCIN,"['DEXAMETHASONE SODIUM PHOSPHATE', 'TOBRAMYCIN']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TETES MATA,tetes,mata,"DUS, 1 BOTOL PLASTIK @ 5 ML",ROHTO LABORATORIES INDONESIA - Indonesia,ROHTO LABORATORIES INDONESIA,Indonesia,2025-07-04,2030-07-04,Berlaku,aktif,1490,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DTL1030705210A1,DTL1030705210A1,OSKADON EXTRA,IBUPROFEN. CAFFEINE. PARACETAMOL,IBUPROFEN. CAFFEINE. PARACETAMOL,['IBUPROFEN. CAFFEINE. PARACETAMOL'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,1,TABLET; 200 MG /50 MG /350 MG,tablet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET ;; CATCH COVER @ 1 STRIP @ 4 TABLET",SUPRA FERBINDO FARMA - Indonesia,SUPRA FERBINDO FARMA,Indonesia,2020-09-22,2025-09-22,Berlaku,kedaluwarsa,-256,2,drug_name_category_lookup.csv,CAFFEINE|IBUPROFEN,curated_rule
DTL0830703910A1,DTL0830703910A1,OSKADON MIGRA,CAFFEINE | PARACETAMOL | PROPYPHENAZONE,CAFFEINE  PARACETAMOL  PROPYPHENAZONE,[],0,xantin,xantin,xantin,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,TABLET,tablet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET",SUPRA FERBINDO FARMA - Indonesia,SUPRA FERBINDO FARMA,Indonesia,2024-11-04,2029-10-22,Berlaku,aktif,1235,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DTL2430710417A1,DTL2430710417A1,OSKADON SP NEURO,IBUPROFEN. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,IBUPROFEN. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,['IBUPROFEN. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],1,nsaid,nsaid,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,TABLET SALUT SELAPUT; 200 MG /50 MG /100 MG /100 MCG,tablet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET SALUT SELAPUT",SUPRA FERBINDO FARMA - Indonesia,SUPRA FERBINDO FARMA,Indonesia,2024-06-30,2029-06-30,Berlaku,aktif,1121,1,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DKL1706318248A1,DKL1706318248A1,OTOZAMBON,NEOMYCIN SULFATE. BETAMETHASONE. POLYMYXIN B SULFATE. LIDOCAINE HYDROCHLORIDE,NEOMYCIN SULFATE. BETAMETHASONE. POLYMYXIN B SULFATE. LIDOCAINE HYDROCHLORIDE,['NEOMYCIN SULFATE. BETAMETHASONE. POLYMYXIN B SULFATE. LIDOCAINE HYDROCHLORIDE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TETES TELINGA; 3390 IU /1 MG /10000 IU /40 MG,tetes,telinga,"DUS, 1 BOTOL PLASTIK @ 8 ML",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2024-02-28,2029-02-28,Berlaku,aktif,999,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL0904426629A1,DKL0904426629A1,OVISKIN-N,BETAMETHASONE VALERATE | NEOMYCIN SULFATE,BETAMETHASONE VALERATE | NEOMYCIN SULFATE,"['BETAMETHASONE VALERATE', 'NEOMYCIN SULFATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 5 GRAM",DANKOS FARMA - Indonesia,DANKOS FARMA,Indonesia,2026-04-12,2031-04-12,Berlaku,aktif,1772,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL0903812746A1,DKL0903812746A1,P-PRED,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,['PREDNISOLONE ACETATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TETES MATA; 10 MG,tetes,mata,"BOTOL PLASTIK @ 5 ML ;; CATCH COVER @ 5 BOTOL PLASTIK @ 0,6 ML",CENDO - Indonesia,CENDO,Indonesia,2024-01-25,2027-05-22,Berlaku,aktif,351,2,drug_name_category_lookup.csv,PREDNISOLONE,curated_rule
DBL2660400210A1,DBL2660400210A1,PANAGRIP EXTRA,CAFFEINE | PARACETAMOL,CAFFEINE | PARACETAMOL,"['CAFFEINE', 'PARACETAMOL']",2,xantin,xantin,xantin,1,Obat Bebas - Lokal,Obat Bebas,0,0,TABLET,tablet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET",TEMPO SCAN INDUSTRY - Indonesia,TEMPO SCAN INDUSTRY,Indonesia,2026-03-31,2031-03-31,Berlaku,aktif,1760,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKI2467300117B1,DKI2467300117B1,PANSIPTIN 100,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,['SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,"TABLET SALUT SELAPUT; 113,37 mg",tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",MEGA LIFESCIENCES INDONESIA - Indonesia,MEGA LIFESCIENCES INDONESIA,Indonesia,2024-04-05,2029-04-05,Berlaku,aktif,1035,1,drug_name_category_lookup.csv,SITAGLIPTIN,curated_rule
LKE14147029,LKE14147029,PARACETAMOL + CAFFEIN ANHYDROUS + PHENYLEPHRINE HCL,PARACETAMOL. CAFFEINE. PHENYLEPHRINE HYDROCHLORIDE,PARACETAMOL. CAFFEINE. PHENYLEPHRINE HYDROCHLORIDE,['PARACETAMOL. CAFFEINE. PHENYLEPHRINE HYDROCHLORIDE'],1,xantin,xantin,xantin,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET; 500 MG /25 MG /5 MG,tablet,oral,"DUS, 2 BLISTER @ 8 TABLET",MEDIFARMA LABORATORIES - Indonesia,MEDIFARMA LABORATORIES,Indonesia,2019-10-30,2024-10-30,Berlaku (Khusus Ekspor),kedaluwarsa,-583,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DTL7813003810A1,DTL7813003810A1,PARAMEX,CAFFEINE | DEXCHLORPHENIRAMINE MALEATE | PARACETAMOL | PROPYPHENAZONE,CAFFEINE | DEXCHLORPHENIRAMINE MALEATE | PARACETAMOL | PROPYPHENAZONE,"['CAFFEINE', 'DEXCHLORPHENIRAMINE MALEATE', 'PARACETAMOL', 'PROPYPHENAZONE']",4,xantin,xantin,xantin,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,TABLET,tablet,oral,"DUS, 50 CATCH COVER @ 1 STRIP @ 4 TABLET",KONIMEX - Indonesia,KONIMEX,Indonesia,2025-05-14,2030-05-14,Berlaku,aktif,1439,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DTL9613013110A1,DTL9613013110A1,PARAMEX NYERI OTOT,IBUPROFEN | PARACETAMOL,IBUPROFEN | PARACETAMOL,"['IBUPROFEN', 'PARACETAMOL']",2,nsaid,nsaid,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,TABLET,tablet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 TABLET",KONIMEX - Indonesia,KONIMEX,Indonesia,2026-04-12,2031-04-12,Berlaku,aktif,1772,1,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DTL8606303009A1,DTL8606303009A1,PARAZON,PROPYPHENAZONE. CAFFEINE. PARACETAMOL,PROPYPHENAZONE. CAFFEINE. PARACETAMOL,['PROPYPHENAZONE. CAFFEINE. PARACETAMOL'],1,xantin,xantin,xantin,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,KAPLET SALUT SELAPUT; 150 MG /50 MG /250 MG,kaplet,oral,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET SALUT SELAPUT",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-08-08,2027-08-08,Berlaku,aktif,429,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKL0919927343A1,DKL0919927343A1,PHAMINOV,AMINOPHYLLINE,AMINOPHYLLINE,['AMINOPHYLLINE'],1,xantin,xantin,xantin,1,Obat Keras - Lokal,Obat Keras,1,1,INJEKSI; 24 MG,injeksi,parenteral,"DUS, 2 BLISTER @ 5 AMPUL @ 10 ML",PHAPROS Tbk - Indonesia,PHAPROS Tbk,Indonesia,2024-06-13,2029-06-13,Berlaku,aktif,1104,1,drug_name_category_lookup.csv,AMINOPHYLLINE,curated_rule
GKL1515623643A1,GKL1515623643A1,PHENYTOIN SODIUM,PHENYTOIN SODIUM,PHENYTOIN SODIUM,['PHENYTOIN SODIUM'],1,antikonvulsan,antikonvulsan,antikonvulsan,1,Obat Generik Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 5 AMPUL @ 2 ML",MEPROFARM - Indonesia,MEPROFARM,Indonesia,2025-07-10,2030-07-10,Berlaku,aktif,1496,1,drug_name_category_lookup.csv,PHENYTOIN,curated_rule
LKE21189008,LKE21189008,PIMTRACOLD,CHLORPHENAMINE MALEATE. CAFFEINE. PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE,CHLORPHENAMINE MALEATE. CAFFEINE. PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE,['CHLORPHENAMINE MALEATE. CAFFEINE. PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE'],1,xantin,xantin,xantin,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET; 2 MG /30 MG /500 MG /30 MG,tablet,oral,"DUS, 50 CATCH COVER @ 1 STRIP @ 4 TABLET",PIM PHARMACEUTICALS - Indonesia,PIM PHARMACEUTICALS,Indonesia,2021-03-21,2026-03-21,Berlaku (Khusus Ekspor),kedaluwarsa,-76,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
GKL1613711110B1,GKL1613711110B1,PIOGLITAZONE HCL,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,['PIOGLITAZONE HYDROCHLORIDE'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 3 STRIP @ 10 TABLET",MAHAKAM BETA FARMA - Indonesia,MAHAKAM BETA FARMA,Indonesia,2025-09-25,2030-09-25,Berlaku,aktif,1573,1,drug_name_category_lookup.csv,PIOGLITAZONE,curated_rule
GKL2432723617B1,GKL2432723617B1,PITAVASTATIN CALCIUM HYDRATE,PITAVASTATIN CALCIUM HYDRATE,PITAVASTATIN CALCIUM HYDRATE,['PITAVASTATIN CALCIUM HYDRATE'],1,statin,statin,statin,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 STRIP @ 10 TABLET SALUT SELAPUT",YARINDO FARMATAMA - Indonesia,YARINDO FARMATAMA,Indonesia,2025-09-17,2030-09-17,Berlaku,aktif,1565,1,drug_name_category_lookup.csv,PITAVASTATIN,curated_rule
DKL2206321529A1,DKL2206321529A1,PIZOLON,TRIAMCINOLONE ACETONIDE. MICONAZOLE NITRATE. NEOMYCIN SULFATE,TRIAMCINOLONE ACETONIDE. MICONAZOLE NITRATE. NEOMYCIN SULFATE,['TRIAMCINOLONE ACETONIDE. MICONAZOLE NITRATE. NEOMYCIN SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"KRIM; 1 mg /10 mg /4,6 mg",krim,topikal,"DUS, 1 TUBE @ 5 G",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-03-10,2027-03-10,Berlaku,aktif,278,1,drug_name_category_lookup.csv,TRIAMCINOLONE,curated_rule
LKE25222018,LKE25222018,POLDAN MIG,ACETYLSALICYLIC ACID | CAFFEINE ANHYDROUS | PARACETAMOL,ACETYLSALICYLIC ACID | CAFFEINE ANHYDROUS | PARACETAMOL,"['ACETYLSALICYLIC ACID', 'CAFFEINE ANHYDROUS', 'PARACETAMOL']",3,nsaid,nsaid|xantin,nsaid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET SALUT SELAPUT",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-08-08,2030-08-08,Berlaku,aktif,1525,1,drug_name_category_lookup.csv,ACETYLSALICYLIC|CAFFEINE,curated_rule
DKL0922245831A1,DKL0922245831A1,POLIDEMISIN,NEOMYCIN SULFATE. POLYMYXIN B SULFATE. DEXAMETHASONE,NEOMYCIN SULFATE. POLYMYXIN B SULFATE. DEXAMETHASONE,['NEOMYCIN SULFATE. POLYMYXIN B SULFATE. DEXAMETHASONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SALEP MATA; 1 MG,salep,mata,"DUS, 1 TUBE @ 3,5 G",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2024-01-21,2028-10-31,Berlaku,aktif,879,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKL8503803746A1,DKL8503803746A1,POLYDEX,DEXAMETHASONE SODIUM PHOSPHATE | NEOMYCIN SULFATE | POLYMYXIN B SULFATE,DEXAMETHASONE SODIUM PHOSPHATE | NEOMYCIN SULFATE | POLYMYXIN B SULFATE,"['DEXAMETHASONE SODIUM PHOSPHATE', 'NEOMYCIN SULFATE', 'POLYMYXIN B SULFATE']",3,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TETES MATA,tetes,mata,"CATCH COVER, 5 BOTOL PLASTIK @ 0,6 ML ;; BOTOL PLASTIK @ 5 ML",CENDO - Indonesia,CENDO,Indonesia,2025-12-12,2030-12-12,Berlaku,aktif,1651,2,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKL8603805546A1,DKL8603805546A1,POLYPRED,PREDNISOLONE ACETATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,PREDNISOLONE ACETATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,['PREDNISOLONE ACETATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TETES MATA; 5 MG /10.000 IU /5 MG,tetes,mata,"CATCH COVER, 5 BOTOL PLASTIK @ 0,6 ML ;; BOTOL PLASTIK @ 5 ML",CENDO - Indonesia,CENDO,Indonesia,2022-06-29,2027-01-16,Berlaku,aktif,225,2,drug_name_category_lookup.csv,PREDNISOLONE,curated_rule
DKI1152502201C1,DKI1152502201C1,PRADAXA,DABIGATRAN ETEXILATE,DABIGATRAN ETEXILATE,['DABIGATRAN ETEXILATE'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Impor,Obat Keras,1,1,KAPSUL; 150 MG,kapsul,oral,"DUS, 3 ALU BLISTER @ 10 KAPSUL",BOEHRINGER INGELHEIM INDONESIA - Indonesia,BOEHRINGER INGELHEIM INDONESIA,Indonesia,2020-12-23,2025-10-04,Berlaku,kedaluwarsa,-244,1,drug_name_category_lookup.csv,DABIGATRAN,curated_rule
DKI2452504001B1,DKI2452504001B1,PRADAXA,DABIGATRAN ETEXILATE MESILATE,DABIGATRAN ETEXILATE MESILATE,['DABIGATRAN ETEXILATE MESILATE'],1,antikoagulan,antikoagulan,antikoagulan,1,Obat Keras - Impor,Obat Keras,1,1,KAPSUL,kapsul,oral,"DUS, 3 BLISTER @ 10 KAPSUL",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2025-04-24,2030-04-24,Berlaku,aktif,1419,1,drug_name_category_lookup.csv,DABIGATRAN,curated_rule
DKL0817623004B1,DKL0817623004B1,PRAVINAT 20,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,['PRAVASTATIN SODIUM'],1,statin,statin,statin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET,kaplet,oral,"DUS, 6 BLISTER @ 10 KAPLET",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-07-21,2030-07-21,Berlaku,aktif,1507,1,drug_name_category_lookup.csv,PRAVASTATIN,curated_rule
GKL9527900410A1,GKL9527900410A1,PREDNISONE,PREDNISONE,PREDNISONE,['PREDNISONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 BLISTER @ 10 TABLET",PABRIK PHARMASI ZENITH - Indonesia,PABRIK PHARMASI ZENITH,Indonesia,2026-05-02,2031-03-23,Berlaku,aktif,1752,1,drug_name_category_lookup.csv,PREDNISONE,curated_rule
LKE22212027,LKE22212027,PROCTOSEDYL,HYDROCORTISONE. CINCHOCAINE HYDROCHLORIDE. FRAMYCETIN SULFATE. AESCULIN,HYDROCORTISONE. CINCHOCAINE HYDROCHLORIDE. FRAMYCETIN SULFATE. AESCULIN,['HYDROCORTISONE. CINCHOCAINE HYDROCHLORIDE. FRAMYCETIN SULFATE. AESCULIN'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,SUPPOSITORIA; 5.00 MG /5.00 MG /10.00 MG /10.00 MG,lainnya,rektal/vaginal,"DUS, 2 STRIP @ 5 SUPPOSITORIA ;; DUS, 2 STRIP @ 6 SUPPOSITORIA",KALVENTIS SINERGI FARMA - Indonesia,KALVENTIS SINERGI FARMA,Indonesia,2022-04-04,2027-04-04,Berlaku (Khusus Ekspor),aktif,303,2,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
DKL1633213610A1,DKL1633213610A1,PRODEX,DEXAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,DEXAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,"['DEXAMETHASONE', 'DEXCHLORPHENIRAMINE MALEATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2026-04-24,2031-04-24,Berlaku,aktif,1784,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKI1108000201A1,DKI1108000201A1,PROGRAF,TACROLIMUS,TACROLIMUS,['TACROLIMUS'],1,imunosupresan,imunosupresan,imunosupresan,1,Obat Keras - Impor,Obat Keras,1,1,KAPSUL,kapsul,oral,"DUS, 1 POUCH @ 5 BLISTER @ 10 KAPSUL",COMBIPHAR - Indonesia,COMBIPHAR,Indonesia,2025-11-17,2030-11-17,Berlaku,aktif,1626,1,drug_name_category_lookup.csv,TACROLIMUS,curated_rule
LKE20055137,LKE20055137,PROPYLTHIOURACIL,PROPYLTHIOURACIL,PROPYLTHIOURACIL,['PROPYLTHIOURACIL'],1,tiroid,tiroid,tiroid,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET,tablet,oral,BLISTER PACK 10 X 10 X 10 TABLET,ACTAVIS INDONESIA - Indonesia,ACTAVIS INDONESIA,Indonesia,2025-03-14,2030-03-14,Berlaku,aktif,1378,1,drug_name_category_lookup.csv,PROPYLTHIOURACIL,curated_rule
DTL2113028310A1,DTL2113028310A1,PROTAMOL,PARACETAMOL. IBUPROFEN. CAFFEINE. DEXCHLORPHENIRAMINE MALEATE,PARACETAMOL. IBUPROFEN. CAFFEINE. DEXCHLORPHENIRAMINE MALEATE,['PARACETAMOL. IBUPROFEN. CAFFEINE. DEXCHLORPHENIRAMINE MALEATE'],1,nsaid,nsaid|xantin,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,1,TABLET; 350 mg /200 mg /50 mg /1 mg,tablet,oral,"DUS, 50 CATCH COVER @ 1 STRIP @ 4 TABLET",KONIMEX - Indonesia,KONIMEX,Indonesia,2024-05-25,2029-05-25,Berlaku,aktif,1085,1,drug_name_category_lookup.csv,CAFFEINE|IBUPROFEN,curated_rule
DKL2635316917C1,DKL2635316917C1,PROXIB 120,ETORICOXIB,ETORICOXIB,['ETORICOXIB'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 STRIP @ 10 TABLET SALUT SELAPUT",GRACIA PHARMINDO - Indonesia,GRACIA PHARMINDO,Indonesia,2026-04-24,2031-04-24,Berlaku,aktif,1784,1,drug_name_category_lookup.csv,ETORICOXIB,curated_rule
DKL0722244581A1,DKL0722244581A1,PROXIME,ACETYLSALICYLIC ACID. GLYCINE,ACETYLSALICYLIC ACID. GLYCINE,['ACETYLSALICYLIC ACID. GLYCINE'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET DISPERSIBLE; 100 MG /45 MG,tablet,oral,"DUS, 3 STRIP @ 10 TABLET DISPERSIBLE",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2022-10-06,2026-11-28,Berlaku,aktif,176,1,drug_name_category_lookup.csv,ACETYLSALICYLIC,curated_rule
