backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKL0904426629A1,OVISKIN-N,BETAMETHASONE VALERATE | NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL0903812746A1,P-PRED,PREDNISOLONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA; 10 MG,mata,aktif,1,1
DBL2660400210A1,PANAGRIP EXTRA,CAFFEINE | PARACETAMOL,xantin,xantin,Obat Bebas,0,TABLET,oral,aktif,1,1
DKI2467300117B1,PANSIPTIN 100,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,antidiabetes,antidiabetes,Obat Keras,1,"TABLET SALUT SELAPUT; 113,37 mg",oral,aktif,1,1
LKE14147029,PARACETAMOL + CAFFEIN ANHYDROUS + PHENYLEPHRINE HCL,PARACETAMOL. CAFFEINE. PHENYLEPHRINE HYDROCHLORIDE,xantin,xantin,Khusus Ekspor,0,TABLET; 500 MG /25 MG /5 MG,oral,kedaluwarsa,1,1
DTL7813003810A1,PARAMEX,CAFFEINE | DEXCHLORPHENIRAMINE MALEATE | PARACETAMOL | PROPYPHENAZONE,xantin,xantin,Obat Bebas Terbatas,0,TABLET,oral,aktif,1,1
DTL9613013110A1,PARAMEX NYERI OTOT,IBUPROFEN | PARACETAMOL,nsaid,nsaid,Obat Bebas Terbatas,0,TABLET,oral,aktif,1,1
DTL8606303009A1,PARAZON,PROPYPHENAZONE. CAFFEINE. PARACETAMOL,xantin,xantin,Obat Bebas Terbatas,0,KAPLET SALUT SELAPUT; 150 MG /50 MG /250 MG,oral,aktif,1,1
DKL0919927343A1,PHAMINOV,AMINOPHYLLINE,xantin,xantin,Obat Keras,1,INJEKSI; 24 MG,parenteral,aktif,1,1
GKL1515623643A1,PHENYTOIN SODIUM,PHENYTOIN SODIUM,antikonvulsan,antikonvulsan,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
LKE21189008,PIMTRACOLD,CHLORPHENAMINE MALEATE. CAFFEINE. PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE,xantin,xantin,Khusus Ekspor,0,TABLET; 2 MG /30 MG /500 MG /30 MG,oral,kedaluwarsa,1,1
GKL1613711110B1,PIOGLITAZONE HCL,PIOGLITAZONE HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET,oral,aktif,1,1
GKL2432723617B1,PITAVASTATIN CALCIUM HYDRATE,PITAVASTATIN CALCIUM HYDRATE,statin,statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL2206321529A1,PIZOLON,TRIAMCINOLONE ACETONIDE. MICONAZOLE NITRATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 1 mg /10 mg /4,6 mg",topikal,aktif,1,1
LKE25222018,POLDAN MIG,ACETYLSALICYLIC ACID | CAFFEINE ANHYDROUS | PARACETAMOL,nsaid,nsaid|xantin,Khusus Ekspor,0,KAPLET SALUT SELAPUT,oral,aktif,2,1
DKL0922245831A1,POLIDEMISIN,NEOMYCIN SULFATE. POLYMYXIN B SULFATE. DEXAMETHASONE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP MATA; 1 MG,mata,aktif,1,1
DKL8503803746A1,POLYDEX,DEXAMETHASONE SODIUM PHOSPHATE | NEOMYCIN SULFATE | POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA,mata,aktif,1,1
DKL8603805546A1,POLYPRED,PREDNISOLONE ACETATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA; 5 MG /10.000 IU /5 MG,mata,aktif,1,1
DKI1152502201C1,PRADAXA,DABIGATRAN ETEXILATE,antikoagulan,antikoagulan,Obat Keras,1,KAPSUL; 150 MG,oral,kedaluwarsa,1,1
DKI2452504001B1,PRADAXA,DABIGATRAN ETEXILATE MESILATE,antikoagulan,antikoagulan,Obat Keras,1,KAPSUL,oral,aktif,1,1
DKL0817623004B1,PRAVINAT 20,PRAVASTATIN SODIUM,statin,statin,Obat Keras,1,KAPLET,oral,aktif,1,1
GKL9527900410A1,PREDNISONE,PREDNISONE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
LKE22212027,PROCTOSEDYL,HYDROCORTISONE. CINCHOCAINE HYDROCHLORIDE. FRAMYCETIN SULFATE. AESCULIN,kortikosteroid,kortikosteroid,Khusus Ekspor,0,SUPPOSITORIA; 5.00 MG /5.00 MG /10.00 MG /10.00 MG,rektal/vaginal,aktif,1,1
DKL1633213610A1,PRODEX,DEXAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
DKI1108000201A1,PROGRAF,TACROLIMUS,imunosupresan,imunosupresan,Obat Keras,1,KAPSUL,oral,aktif,1,1
LKE20055137,PROPYLTHIOURACIL,PROPYLTHIOURACIL,tiroid,tiroid,Khusus Ekspor,0,TABLET,oral,aktif,1,1
DTL2113028310A1,PROTAMOL,PARACETAMOL. IBUPROFEN. CAFFEINE. DEXCHLORPHENIRAMINE MALEATE,nsaid,nsaid|xantin,Obat Bebas Terbatas,0,TABLET; 350 mg /200 mg /50 mg /1 mg,oral,aktif,2,1
DKL2635316917C1,PROXIB 120,ETORICOXIB,nsaid,nsaid,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL0722244581A1,PROXIME,ACETYLSALICYLIC ACID. GLYCINE,nsaid,nsaid,Obat Keras,1,TABLET DISPERSIBLE; 100 MG /45 MG,oral,aktif,1,1
DKI1151302568A1,PULMICORT RESPULES,BUDESONIDE,kortikosteroid,kortikosteroid,Obat Keras,1,CAIRAN INHALASI,inhalasi,aktif,1,1
DBL1718907323A1,PUYER PIM,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE,nsaid,nsaid|xantin,Obat Bebas,0,SERBUK ORAL; 350 MG /300 MG /50 MG,oral,aktif,2,1
DKI2451304617A1,QTERN,DAPAGLIFLOZIN PROPANEDIOL. SAXAGLIPTIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 12.3 mg /5 mg,oral,aktif,1,1
DKI1875705067A1,RELVAR ELLIPTA,FLUTICASONE FUROATE | VILANTEROL TRIFENATATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INHALER,oral,aktif,1,1
LKE25066211,RENITEC PLUS,ENALAPRIL MALEATE | HYDROCHLOROTHIAZIDE,ace_arb,ace_arb,Khusus Ekspor,0,TABLET,oral,aktif,1,1
LKE13147022,REXIDOL FORTE,CAFFEINE. PARACETAMOL,xantin,xantin,Khusus Ekspor,0,TABLET; 65 mg /500 MG,oral,aktif,1,1
IKE24669001,ROSUZET,EZETIMIBE. ROSUVASTATIN CALCIUM,statin,statin,Khusus Ekspor,0,"KOMBINASI BEBERAPA BENTUK SEDIAAN DALAM SATU KEMASAN; 10 MG /41,583 MG",lainnya,aktif,1,1
LKE25066212,ROSUZET,EZETIMIBE | ROSUVASTATIN CALCIUM,statin,statin,Khusus Ekspor,0,KOMBINASI BEBERAPA BENTUK SEDIAAN DALAM SATU KEMASAN,lainnya,aktif,1,1
DKL2434617217A1,ROXAF,RIVAROXABAN,antikoagulan,antikoagulan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2232300743A1,RYZODEG,INSULIN DEGLUDEC. INSULIN ASPART,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI; 70 U /30 U,parenteral,aktif,1,1
DKI2232300743A2,RYZODEG,INSULIN ASPART | INSULIN DEGLUDEC,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI,parenteral,aktif,1,1
DKI2218604817A1,SACUVAN,SACUBITRIL VALSARTAN SODIUM,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL9906411829A1,SALGEN PLUS,GENTAMICIN SULFATE. BETAMETHASONE VALERATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 1,785 mg /1,26 MG",topikal,aktif,1,1
DKL7622252130A1,SANCORTMYCIN,HYDROCORTISONE. OXYTETRACYCLINE HYDROCHLORIDE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP; 10 MG /- MG,topikal,aktif,1,1
DKL2222263709A1,SANOFETIL,MYCOPHENOLATE MOFETIL,imunosupresan,imunosupresan,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DTL0502005210A1,SARIDON,CAFFEINE | PARACETAMOL | PROPYPHENAZONE,xantin,xantin,Obat Bebas Terbatas,0,TABLET,oral,aktif,1,1
DKL9422710629A1,SCANDERMA PLUS,BACITRACIN ZINC | BETAMETHASONE DIPROPIONATE | NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL2522730029A1,SCANDEXON,CLOTRIMAZOLE | DEXAMETHASONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKI2008101043A1,SCILIN N,HUMAN INSULIN,antidiabetes,antidiabetes,Obat Keras,1,INJEKSI; 100 IU,parenteral,kedaluwarsa,1,1
DKI1191600568B2,SERETIDE 125,SALMETEROL XINAFOATE. FLUTICASONE PROPIONAT,kortikosteroid,kortikosteroid,Obat Keras,1,CAIRAN INHALASI; 25 MCG /125 MCG,inhalasi,aktif,1,1
DKI1991500167A1,SERETIDE DISKUS,FLUTICASONE PROPIONATE. SALMETEROL XINAFOATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INHALER; 100 MCG /72.5 mcg,oral,aktif,1,1
DKI2550315017A1,SIDAPVIA,DAPAGLIFLOZIN PROPANEDIOL | SITAGLIPTIN PHOSPHATE MONOHYDRATE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL9531511110A1,SIMARC 2,WARFARIN SODIUM CLATHRATE,antikoagulan,antikoagulan,Obat Keras,1,TABLET,oral,aktif,1,1
DKL2128210443A1,SIMPROFEN,DEXKETOPROFEN TROMETAMOL,nsaid,nsaid,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
DKL2428212304A1,SIMSARTAN 40,TELMISARTAN POWDER 23.9,ace_arb,ace_arb,Obat Keras,1,KAPLET; 167.5 MG,oral,aktif,1,1
GKL2616914717A1,SIMVASTATIN,SIMVASTATIN,statin,statin,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
LKE13066095,SINEMET,CARBIDOPA MONOHYDRATE | LEVODOPA,dopaminergik_parkinson,dopaminergik_parkinson,Khusus Ekspor,0,TABLET,oral,aktif,1,1
LKE20066189,SINEMET CR,LEVODOPA. CARBIDOPA,dopaminergik_parkinson,dopaminergik_parkinson,Khusus Ekspor,0,TABLET PELEPASAN LAMBAT; 200 MG /54  MG,oral,kedaluwarsa,1,1
LKE20066193,SINEMET CR,CARBIDOPA. LEVODOPA,dopaminergik_parkinson,dopaminergik_parkinson,Khusus Ekspor,0,TABLET PELEPASAN LAMBAT; 50 MG /200 MG,oral,kedaluwarsa,1,1
